City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
449,Tura,IN,73.92,25.52,90.22,clear sky,Hotel RIKMAN Continental
450,Yambio,SS,68.92,4.57,28.4,overcast clouds,Kabash Inn
451,Zaraza,VE,81.1,9.35,-65.32,few clouds,Hotel Zaraza
456,Salinas,US,66.99,36.68,-121.66,clear sky,Good Nite Inn Salinas Monterey
459,Oussouye,SN,73.4,12.48,-16.55,broken clouds,Auberge du Routard
461,Teknaf,BD,77.7,20.86,92.31,clear sky,Magnum Engineering & Construction
467,Itoman,JP,78.8,26.12,127.67,few clouds,Southern Beach Hotel & Resort Okinawa
468,Caucaia,BR,82.99,-3.74,-38.65,few clouds,M.O.S. Logística - Filial Fortaleza
469,Aquidauana,BR,67.19,-20.47,-55.79,clear sky,HOTEL ARARAS
471,Thap Than,TH,84.38,15.46,99.89,overcast clouds,Am
474,Waingapu,ID,80.83,-9.66,120.26,scattered clouds,Pondok Wisata Elim
475,Tha Chang,TH,82.99,9.26,99.19,few clouds,สุริยาค้าไม้
477,Tandlianwala,PK,82.17,31.03,73.13,light rain,سلمان ارسل بسی سویٹ ھوم
478,Wamba,NG,76.84,8.93,8.6,overcast clouds,Roma Zee Guest House Annex
479,Daru,PG,82.36,-9.08,143.21,light rain,New century hotel
481,Kabinda,CD,69.19,-6.13,24.48,scattered clouds,Village Mianda Mutole
484,Chabahar,IR,82.24,25.29,60.64,few clouds,هتل گدروشیا
486,Miraflores,MX,68.0,19.22,-98.81,broken clouds,Hotel Mansión
487,Cayenne,GF,77.0,4.93,-52.33,overcast clouds,Hôtel Le Dronmi
488,Russell,US,68.0,32.35,-85.2,clear sky,Macs
493,Coos Bay,US,69.01,43.37,-124.22,clear sky,Best Western Holiday Hotel
496,Ravar,IR,72.73,31.27,56.81,clear sky,computertik
500,Kalmunai,LK,80.01,7.42,81.82,overcast clouds,VS Villa
506,Grand-Lahou,CI,81.99,5.14,-5.02,overcast clouds,Hotel Beatitude de Grand Lahou
509,Celestun,MX,81.59,20.87,-90.4,light rain,Posada Lilia
516,Nizwa,OM,80.67,22.93,57.53,clear sky,Orient Apartments
517,Samarai,PG,81.21,-10.62,150.67,overcast clouds,Nuli Sapi
521,Guymon,US,75.2,36.68,-101.48,clear sky,Holiday Inn Express & Suites Guymon
526,Arica,CL,66.2,-18.48,-70.3,scattered clouds,Hostal Jardin Del Sol
527,Naifaru,MV,84.58,5.44,73.37,overcast clouds,Naifaru Residence Guest House
530,Gaoual,GN,80.38,11.75,-13.2,overcast clouds,Hotel koliba
531,Deyang,CN,69.01,31.13,104.38,scattered clouds,Milletholly Resort Hotel
533,San Andres,CO,84.2,12.58,-81.7,overcast clouds,Hotel Arena Blanca
537,Port Hardy,CA,68.0,50.7,-127.42,scattered clouds,Airport Inn
538,Camopi,GF,74.68,3.17,-52.32,light rain,
540,Natal,BR,77.0,-5.79,-35.21,few clouds,Villa Park Hotel | Natal
541,Harper,LR,80.17,4.38,-7.72,overcast clouds,Cape View Guest House
542,Kinkala,CG,73.17,-4.36,14.76,light rain,Hotel la Vernande
545,The Valley,AI,82.4,18.22,-63.06,scattered clouds,CeBlue Villas & Beach Resort
550,Miri,MY,78.8,4.41,114.01,broken clouds,"Mega Hotel, Miri"
551,Lahij,YE,82.08,13.17,44.58,few clouds,
555,Cehegin,ES,66.0,38.09,-1.8,light rain,Apartamentos Begastri
557,Muscat,OM,80.6,23.61,58.59,clear sky,Mutrah Hotel
