City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
110,Neuquen,AR,2020-05-09 23:54:44,-38.95,-68.06,71.6,19,30,12.75,scattered clouds,0,0
111,Calbiga,PH,2020-05-09 23:55:31,11.62,125.02,85.73,71,100,3.47,overcast clouds,0,0
112,Mount Barker,AU,2020-05-09 23:53:15,-35.07,138.87,54.0,82,90,4.0,overcast clouds,0,0
113,Impfondo,CG,2020-05-09 23:55:31,1.64,18.07,71.78,96,98,2.51,overcast clouds,0,0
114,Flin Flon,CA,2020-05-09 23:55:31,54.77,-101.86,39.85,64,91,11.48,overcast clouds,0,0
115,Alamogordo,US,2020-05-09 23:55:31,32.9,-105.96,87.8,7,1,5.82,clear sky,0,0
116,Souillac,MU,2020-05-09 23:55:31,-20.52,57.52,75.2,78,40,6.93,shower rain,0,0
117,Tuktoyaktuk,CA,2020-05-09 23:55:31,69.45,-133.04,35.6,74,40,16.11,scattered clouds,0,0
118,Hovd,MN,2020-05-09 23:55:31,48.01,91.64,46.62,43,0,1.61,clear sky,0,0
119,Karagay,RU,2020-05-09 23:55:31,58.27,54.94,56.17,69,44,6.51,scattered clouds,0,0
120,Yar-Sale,RU,2020-05-09 23:55:31,66.83,70.83,34.56,90,96,9.1,overcast clouds,0,0
121,Khatanga,RU,2020-05-09 23:55:32,71.97,102.5,23.23,98,18,8.03,few clouds,0,0
122,Montepuez,MZ,2020-05-09 23:55:32,-13.13,39.0,63.21,92,16,9.15,few clouds,0,0
123,Verkhnevilyuysk,RU,2020-05-09 23:55:32,63.45,120.32,41.32,58,0,7.11,clear sky,0,0
124,Voi,KE,2020-05-09 23:55:32,-3.39,38.56,72.05,70,77,7.18,broken clouds,0,0
125,Whitehorse,CA,2020-05-09 23:52:09,60.72,-135.05,69.8,22,40,16.11,scattered clouds,0,0
126,Prabumulih,ID,2020-05-09 23:55:32,-3.45,104.25,74.34,98,100,4.25,overcast clouds,0,0
127,Clyde River,CA,2020-05-09 23:55:32,70.47,-68.59,14.0,85,90,18.34,overcast clouds,0,0
128,Palimbang,PH,2020-05-09 23:55:34,6.21,124.19,84.63,72,100,3.74,light rain,0,0
129,Loukhi,RU,2020-05-09 23:55:34,66.08,33.04,30.34,98,66,8.16,broken clouds,0,0
130,Magadan,RU,2020-05-09 23:52:20,59.57,150.8,40.77,65,75,10.04,broken clouds,0,0
131,Mtinko,TZ,2020-05-09 23:55:34,-4.55,34.85,61.68,81,42,10.87,scattered clouds,0,0
132,Quelimane,MZ,2020-05-09 23:55:34,-17.88,36.89,68.0,100,40,4.7,scattered clouds,0,0
133,Geraldton,AU,2020-05-09 23:55:35,-28.77,114.6,59.0,51,66,11.41,broken clouds,0,0
134,Kahului,US,2020-05-09 23:53:55,20.89,-156.47,82.4,58,40,18.34,scattered clouds,0,0
135,Avarua,CK,2020-05-09 23:55:35,-21.21,-159.78,82.4,74,14,11.41,few clouds,0,0
136,Bathsheba,BB,2020-05-09 23:55:35,13.22,-59.52,80.6,69,40,20.8,scattered clouds,0,0
137,Isangel,VU,2020-05-09 23:55:36,-19.55,169.27,80.6,74,40,5.82,scattered clouds,0,0
138,Alekseyevskaya,RU,2020-05-09 23:55:36,50.29,42.18,45.0,88,41,7.56,scattered clouds,0,0
139,Solvychegodsk,RU,2020-05-09 23:55:36,61.33,46.92,44.37,96,100,3.89,overcast clouds,0,0
140,Shenjiamen,CN,2020-05-09 23:55:36,29.96,122.3,62.2,95,100,4.41,light rain,0,0
141,Bambous Virieux,MU,2020-05-09 23:55:36,-20.34,57.76,75.2,78,40,6.93,shower rain,0,0
142,Ucar,AZ,2020-05-09 23:55:36,40.52,47.65,55.4,93,90,10.29,overcast clouds,0,0
143,Saint-Philippe,RE,2020-05-09 23:55:37,-21.36,55.77,69.8,73,38,8.05,scattered clouds,0,0
144,Mount Isa,AU,2020-05-09 23:55:37,-20.73,139.5,69.8,28,3,16.11,clear sky,0,0
145,Tongliao,CN,2020-05-09 23:55:37,43.61,122.27,67.3,24,0,18.61,clear sky,0,0
146,Antofagasta,CL,2020-05-09 23:55:37,-23.65,-70.4,60.8,77,90,10.29,overcast clouds,0,0
147,Nanortalik,GL,2020-05-09 23:55:37,60.14,-45.24,40.14,69,31,14.9,scattered clouds,0,0
148,Karakol,KG,2020-05-09 23:50:40,42.49,78.39,49.48,55,95,2.06,overcast clouds,0,0
149,San Julian,MX,2020-05-09 23:55:37,21.02,-102.17,76.23,26,64,10.47,broken clouds,0,0
150,Pocosol,CR,2020-05-09 23:55:37,10.37,-84.62,77.0,88,75,5.82,thunderstorm with rain,0,0
151,Saint-Georges,GD,2020-05-09 23:55:37,12.06,-61.75,80.6,78,20,17.22,few clouds,0,0
152,Ribeira Grande,PT,2020-05-09 23:55:37,38.52,-28.7,63.05,85,97,21.92,overcast clouds,0,0
153,Lagoa,PT,2020-05-09 23:55:38,39.05,-27.98,62.17,86,100,25.21,light rain,0,0
154,Aklavik,CA,2020-05-09 23:55:38,68.22,-135.01,44.6,52,20,16.11,few clouds,0,0
155,Paro,BT,2020-05-09 23:55:38,27.43,89.41,50.09,54,2,2.66,clear sky,0,0
156,Lac Du Bonnet,CA,2020-05-09 23:55:38,50.25,-96.06,43.0,43,100,8.99,overcast clouds,0,0
157,Udachnyy,RU,2020-05-09 23:55:38,66.42,112.4,30.2,100,90,11.18,shower snow,0,0
158,Iqaluit,CA,2020-05-09 23:55:38,63.75,-68.51,35.6,80,90,6.93,light snow,0,0
159,Awjilah,LY,2020-05-09 23:55:38,29.11,21.29,67.53,24,10,7.25,clear sky,0,0
160,Haines Junction,CA,2020-05-09 23:55:38,60.75,-137.51,67.5,31,64,2.17,broken clouds,0,0
161,Matamoros,MX,2020-05-09 23:53:54,25.53,-103.25,87.8,25,40,10.29,scattered clouds,0,0
162,Cidreira,BR,2020-05-09 23:53:30,-30.18,-50.21,63.79,82,0,8.81,clear sky,0,0
163,Kapaa,US,2020-05-09 23:55:38,22.08,-159.32,78.8,69,20,17.22,few clouds,0,0
164,Arman,RU,2020-05-09 23:55:39,59.7,150.17,42.73,60,54,10.49,broken clouds,0,0
165,Christchurch,NZ,2020-05-09 23:52:23,-43.53,172.63,59.0,93,19,9.17,few clouds,0,0
166,Sujangarh,IN,2020-05-09 23:55:39,27.7,74.46,85.48,26,37,2.44,scattered clouds,0,0
167,Pallasovka,RU,2020-05-09 23:55:39,50.05,46.88,48.16,82,0,13.85,clear sky,0,0
168,Kenai,US,2020-05-09 23:55:39,60.55,-151.26,60.8,38,20,19.46,few clouds,0,0
169,Mahebourg,MU,2020-05-09 23:55:39,-20.41,57.7,75.2,78,40,6.93,shower rain,0,0
170,Nantucket,US,2020-05-09 23:55:39,41.28,-70.1,44.6,33,20,28.86,few clouds,0,0
171,Carinhanha,BR,2020-05-09 23:55:39,-14.3,-43.77,68.22,77,84,5.41,broken clouds,0,0
172,Nouakchott,MR,2020-05-09 23:55:39,18.09,-15.98,73.4,73,50,20.8,scattered clouds,0,0
173,Przasnysz,PL,2020-05-09 23:55:39,53.02,20.88,48.0,100,19,2.93,few clouds,0,0
174,Labytnangi,RU,2020-05-09 23:55:39,66.66,66.42,34.36,90,100,1.28,light rain,0,0
175,Ballina,AU,2020-05-09 23:55:40,-28.87,153.57,70.0,82,0,4.7,clear sky,0,0
176,Slonim,BY,2020-05-09 23:55:40,53.09,25.32,46.2,90,91,4.65,overcast clouds,0,0
177,Olga,RU,2020-05-09 23:55:40,43.74,135.29,48.34,95,100,3.49,moderate rain,0,0
178,Rantepao,ID,2020-05-09 23:55:40,-2.97,119.9,69.8,91,100,2.66,heavy intensity rain,0,0
179,Kawalu,ID,2020-05-09 23:55:40,-7.38,108.21,75.65,83,94,2.84,overcast clouds,0,0
180,Sambava,MG,2020-05-09 23:55:40,-14.27,50.17,74.64,85,67,11.36,light rain,0,0
181,El Rosario,MX,2020-05-09 23:55:40,24.26,-107.18,89.01,49,0,5.99,clear sky,0,0
182,Zhigansk,RU,2020-05-09 23:55:40,66.77,123.37,21.7,96,19,10.92,few clouds,0,0
183,Ilulissat,GL,2020-05-09 23:55:40,69.22,-51.1,30.2,92,100,3.36,light snow,0,0
184,San Patricio,MX,2020-05-09 23:55:41,19.22,-104.7,84.2,79,20,11.41,few clouds,0,0
185,Yatou,CN,2020-05-09 23:55:41,37.15,122.38,56.37,91,100,5.14,overcast clouds,0,0
186,Marsabit,KE,2020-05-09 23:55:41,2.33,37.99,64.81,95,94,13.18,overcast clouds,0,0
187,Flinders,AU,2020-05-09 23:55:41,-34.58,150.86,59.0,51,0,11.01,clear sky,0,0
188,Moindou,NC,2020-05-09 23:55:41,-21.69,165.68,75.2,64,90,2.24,overcast clouds,0,0
189,Ulaangom,MN,2020-05-09 23:55:41,49.98,92.07,49.3,41,0,0.87,clear sky,0,0
190,Poum,NC,2020-05-09 23:55:41,-20.23,164.02,76.69,64,0,8.43,clear sky,0,0
191,East London,ZA,2020-05-09 23:55:41,-33.02,27.91,64.83,70,9,5.57,clear sky,0,0
192,Coquimbo,CL,2020-05-09 23:55:42,-29.95,-71.34,55.4,87,75,4.7,broken clouds,0,0
193,Namibe,AO,2020-05-09 23:55:42,-15.2,12.15,80.46,51,33,3.38,scattered clouds,0,0
194,Severnyy,RU,2020-05-09 23:55:42,50.68,36.55,44.6,87,31,6.71,scattered clouds,0,0
195,Tallahassee,US,2020-05-09 23:55:29,30.44,-84.28,73.4,33,75,8.05,broken clouds,0,0
196,Gambo,CF,2020-05-09 23:55:42,4.65,22.26,68.83,98,77,1.7,broken clouds,0,0
197,Maua,BR,2020-05-09 23:55:42,-23.67,-46.46,62.6,82,0,5.82,clear sky,0,0
198,Korla,CN,2020-05-09 23:55:42,41.76,86.15,62.83,27,50,18.66,scattered clouds,0,0
199,Dukat,RU,2020-05-09 23:55:42,62.55,155.55,29.14,98,100,12.33,snow,0,0
200,Airai,TL,2020-05-09 23:55:42,-8.93,125.41,64.94,90,98,4.18,overcast clouds,0,0
201,Nijar,ES,2020-05-09 23:55:42,36.97,-2.21,66.2,72,60,23.04,broken clouds,0,0
202,Georgetown,MY,2020-05-09 23:55:43,5.41,100.34,80.6,100,40,2.24,scattered clouds,0,0
203,San Cristobal,VE,2020-05-09 23:55:43,7.77,-72.22,68.5,88,32,3.69,scattered clouds,0,0
204,Leningradskiy,RU,2020-05-09 23:55:43,69.38,178.42,27.21,96,100,11.01,overcast clouds,0,0
205,Rotnes,NO,2020-05-09 23:55:43,60.06,10.86,46.99,61,75,2.24,light rain,0,0
206,Naze,JP,2020-05-09 23:55:43,28.37,129.48,73.4,94,75,10.29,broken clouds,0,0
207,Alexandria,EG,2020-05-09 23:55:43,31.22,29.96,64.54,68,0,10.45,clear sky,0,0
208,Aloleng,PH,2020-05-09 23:55:43,16.13,119.78,86.56,68,63,7.14,broken clouds,0,0
209,Sevierville,US,2020-05-09 23:53:25,35.87,-83.56,60.01,28,1,1.36,clear sky,0,0
210,Omboue,GA,2020-05-09 23:55:43,-1.57,9.26,77.2,86,67,3.76,broken clouds,0,0
211,Caravelas,BR,2020-05-09 23:55:43,-17.71,-39.25,71.33,73,13,9.95,few clouds,0,0
212,Vila Velha,BR,2020-05-09 23:55:44,-20.33,-40.29,66.2,88,41,3.36,scattered clouds,0,0
213,Balezino,RU,2020-05-09 23:55:44,57.98,53.01,54.73,64,2,5.26,clear sky,0,0
214,Pevek,RU,2020-05-09 23:55:44,69.7,170.31,37.44,75,100,14.67,overcast clouds,0,0
215,Naryan-Mar,RU,2020-05-09 23:55:44,67.67,53.09,28.72,94,21,6.38,few clouds,0,0
216,Tuatapere,NZ,2020-05-09 23:55:44,-46.13,167.68,60.37,72,93,6.8,overcast clouds,0,0
217,Guanare,VE,2020-05-09 23:55:44,9.04,-69.74,77.97,84,0,0.76,light rain,0,0
218,Bilibino,RU,2020-05-09 23:55:44,68.05,166.44,38.23,76,100,10.07,overcast clouds,0,0
219,Port Blair,IN,2020-05-09 23:55:44,11.67,92.75,82.94,80,91,2.21,overcast clouds,0,0
220,Hamilton,US,2020-05-09 23:55:44,39.18,-84.53,53.6,32,1,4.7,clear sky,0,0
221,Kapitan Ramon,PH,2020-05-09 23:55:44,10.77,123.13,82.9,76,97,6.26,overcast clouds,0,0
222,Lompoc,US,2020-05-09 23:53:01,34.64,-120.46,66.99,82,90,5.82,overcast clouds,0,0
223,Pierre,US,2020-05-09 23:55:45,44.37,-100.35,41.0,69,90,28.86,overcast clouds,0,0
224,Kautokeino,NO,2020-05-09 23:55:45,69.01,23.04,14.76,84,23,4.36,few clouds,0,0
225,Camacha,PT,2020-05-09 23:55:45,33.08,-16.33,64.4,88,40,13.87,scattered clouds,0,0
226,Santa Isabel Do Rio Negro,BR,2020-05-09 23:55:45,-0.41,-65.02,75.88,96,99,1.12,overcast clouds,0,0
227,Guerrero Negro,MX,2020-05-09 23:55:45,27.98,-114.06,74.55,50,0,16.22,clear sky,0,0
228,Charyshskoye,RU,2020-05-09 23:55:45,51.4,83.56,55.26,49,0,5.32,clear sky,0,0
229,Shimoda,JP,2020-05-09 23:55:45,34.67,138.95,68.0,94,75,16.11,light intensity shower rain,0,0
230,Ust-Maya,RU,2020-05-09 23:55:45,60.42,134.53,34.83,79,99,6.76,overcast clouds,0,0
231,Ust-Tsilma,RU,2020-05-09 23:55:45,65.44,52.15,39.97,88,46,4.03,scattered clouds,0,0
232,Luxor,EG,2020-05-09 23:55:46,25.7,32.64,67.48,37,0,4.92,clear sky,0,0
233,Ramsar,IR,2020-05-09 23:55:46,36.92,50.64,64.2,72,57,6.6,light rain,0,0
234,Goundam,ML,2020-05-09 23:55:46,16.41,-3.67,92.19,10,7,10.85,clear sky,0,0
235,Arraias,BR,2020-05-09 23:55:46,-12.93,-46.94,67.21,84,56,7.38,broken clouds,0,0
236,Aden,YE,2020-05-09 23:52:21,12.78,45.04,86.52,61,1,9.57,clear sky,0,0
237,Anshun,CN,2020-05-09 23:55:46,26.25,105.93,62.28,77,93,7.99,overcast clouds,0,0
238,Esperance,AU,2020-05-09 23:55:46,-33.87,121.9,44.6,87,0,13.87,clear sky,0,0
239,Ginda,IN,2020-05-09 23:55:46,30.69,78.49,53.98,49,53,8.63,broken clouds,0,0
240,Upernavik,GL,2020-05-09 23:55:46,72.79,-56.15,18.86,93,100,13.2,overcast clouds,0,0
241,Ketchikan,US,2020-05-09 23:54:04,55.34,-131.65,73.4,27,1,12.75,clear sky,0,0
242,Quatre Cocos,MU,2020-05-09 23:55:46,-20.21,57.76,75.2,78,40,6.93,shower rain,0,0
243,Rawson,AR,2020-05-09 23:53:38,-43.3,-65.1,60.06,50,37,12.5,scattered clouds,0,0
244,Northam,GB,2020-05-09 23:55:47,51.03,-4.22,54.0,91,76,1.99,broken clouds,0,0
245,Port Townsend,US,2020-05-09 23:55:47,48.12,-122.76,73.0,46,1,4.7,clear sky,0,0
246,Conceicao Do Mato Dentro,BR,2020-05-09 23:55:47,-19.04,-43.42,59.32,91,49,2.59,scattered clouds,0,0
247,Godfrey,US,2020-05-09 23:55:47,38.96,-90.19,63.0,41,75,8.05,broken clouds,0,0
248,Katsuura,JP,2020-05-09 23:55:47,35.13,140.3,68.0,88,90,9.17,light intensity drizzle rain,0,0
